human_readable_date,value
2019-04-18 00:02:15-04:00,1
2019-04-17 22:45:40-04:00,1
2019-04-17 22:18:06-04:00,2
2019-04-17 22:16:21-04:00,2
2019-04-17 22:14:37-04:00,2
2019-04-17 21:48:46-04:00,1
2019-04-17 17:26:17-04:00,1
2019-04-17 17:23:08-04:00,2
2019-04-17 17:14:56-04:00,1
2019-04-17 17:07:38-04:00,2
2019-04-17 17:07:37-04:00,1
2019-04-17 17:07:36-04:00,2
2019-04-17 17:07:35-04:00,1
2019-04-17 17:07:34-04:00,2
2019-04-17 17:07:33-04:00,1
2019-04-17 17:07:32-04:00,2
2019-04-17 17:07:31-04:00,1
